"category","name","code","brand","quantity","gross","sales","tax","sales_plus_tax","units_in_stock","unit_cost","profit","id","others"
Hijacksandals/Product,Mimic Nox (Midnightblue),MNM,"",2,0,754600,0,754600,0,1078000,-323400,"10fe18ba-8fd5-4dc4-b05e-b6f680a468d5",Mimic
Hijacksandals/Product,Flo Claret,FLOC,"",1,0,729000,0,729000,0,729000,0,"0198eb1a-cd19-7737-a26c-30ef9bc9ad3b",Flo
Hijacksandals/Product,Mesa Blach,MSBH,"",1,0,649000,0,649000,0,649000,0,"0198bc5f-a206-723e-bd3f-95db7ee0dea0",Mesa
Hijacksandals/Product,Twyla Meadow,TWYM,"",1,0,649000,0,649000,0,649000,0,e5cfc0f4-1816-4739-9ac7-04b77b8a4a91,Twyla
Hijacksandals/Product,Celtic Gripp Noir,CGRP,"",1,0,629000,0,629000,0,629000,0,"3141da2a-608c-4d68-b97a-23a319684101",Celtic
Hijacksandals/Product Reject,Flo Brun RJT,FLBR,"",1,0,600000,0,600000,0,729000,-129000,"0199c2bd-3461-7fea-b216-bc13ea571943",Flo
Hijacksandals/Product,Umbra Raven,UMB-RVN,"",1,0,571350,0,571350,0,879000,-307650,ee20389d-a187-48ee-8be5-0fb2ada08219,Umbra
Shipping/Ongkir,JNE REG,,"",26,0,562000,0,562000,0,260000,302000,"38f0f352-747f-40a4-b59f-d844d99096d9",JNE
Hijacksandals/Product Reject,Flo Blach RJT,IVBR,"",1,0,530000,0,530000,0,629000,-99000,"24bd3a79-8467-40ef-9a2d-9bf61da5f3ee",Flo
Hijacksandals/Product Reject,New Astro Blach RJT,NABR,"",1,0,500000,0,500000,0,729000,-229000,ead373f3-1dd4-4bd0-acda-ea464cc4b649,New
Hijacksandals/Product,Tycho Blach,TCB,"",1,0,454350,0,454350,0,699000,-244650,"419cd1c1-0c8b-454b-9a47-79a0cf7d1264",Tycho
Hijacksandals/Product,Saba Blaze,NSO,"",1,0,407400,0,407400,0,679000,-271600,"450b64a6-601f-4695-aa0a-cf1ffc616e10",Saba
Hijacksandals/Product,Jiro Nox,JRN,"",1,0,407150,0,407150,0,479000,-71850,"00af925e-b84a-4c10-8531-4490a4481d58",Jiro
Shipping/Shipment International,RAYSPEED ASIA,,"",1,0,403272,0,403272,0,0,403272,b8227a0b-c5da-4dc8-a95d-ae7cc5d07366,RAYSPEED
Hijacksandals/Product Reject,Campbell Blach RJT,CABR,"",1,0,400000,0,400000,0,549000,-149000,"5d9a28a5-a117-4e1d-a086-d8badffa9252",Campbell
Hijacksandals/Product,SIlas Crema,SAM,"",1,0,377400,0,377400,0,629000,-251600,"140119a0-7f69-47c1-9bfc-5be01bcd2377",SIlas
Hijacksandals/Product Reject,Alto Orca RJT,OG-G,"",1,0,350000,0,350000,0,499000,-149000,"1ec14474-9c24-4179-a1c3-13c61045aa87",Alto
Hijacksandals/Product,Bakki Blach,BKB,"",2,0,349650,0,349650,0,378000,-28350,"922a07d7-33d0-4437-a185-34e3522f613f",Bakki
Hijacksandals/Lainnya,Repair - Full,FRN,"",1,0,347500,0,347500,0,0,347500,"2267e1ec-d3eb-4da6-9006-29b7fc1a64f0",Repair
Hijacksandals/Product,Dach Black,HMH1,"",1,0,309000,0,309000,0,309000,0,"048db1a7-da22-46b0-a74e-31733f8f052a",Dach
Hijacksandals/Product Reject,Manic Nutmeg RJT,MST-R,"",1,0,300000,0,300000,0,539000,-239000,f9cceaea-2722-446a-b4d6-65dcda8b0245,Manic
Hijacksandals/Product Reject,Alley mer RJT,AMER,"",1,0,200000,0,200000,0,399000,-199000,cfff7f79-b8b8-4341-8005-3349c6ff1f3a,Alley
Hijacksandals/Lainnya,OAKEN - Scent Tag - Sanctum,OAK-H-ST,"",1,0,99000,0,99000,0,99000,0,"689eaf08-3128-464c-a1ba-1f3c4dd41999",OAKEN
Hijacksandals/Merchandise,Piece Goodie Bag Blach,FTBR-BL,"",236,0,0,0,0,0,0,0,"04898617-f0bc-4962-988c-301159fe2573",Piece
Hijacksandals/Merchandise,Piece Goodie Bag Fuschia,FTBR-FC,"",273,0,0,0,0,0,0,0,a5277ff9-99b6-4e2a-9f93-af1edea4b8ad,Piece
